26-02-28 23:23:46.803 :   task: train
  gpu_ids: [0, 1, 2, 3]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best.pth
  ]
  batch_size: 1
  nc: [1, 16]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_valid
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-02-28 23:23:48.057 : Number of parameter: 3.41M
26-02-28 23:23:48.057 : start training...
26-02-28 23:25:55.924 : epoch:[1/1000], 平均loss: 0.0736
26-02-28 23:28:03.094 : epoch:[2/1000], 平均loss: 0.0368
26-02-28 23:30:10.037 : epoch:[3/1000], 平均loss: 0.0338
26-02-28 23:32:17.109 : epoch:[4/1000], 平均loss: 0.0320
26-02-28 23:34:22.695 : epoch:[5/1000], 平均loss: 0.0307
26-02-28 23:36:29.855 : epoch:[6/1000], 平均loss: 0.0298
26-02-28 23:38:37.123 : epoch:[7/1000], 平均loss: 0.0290
26-02-28 23:40:44.559 : epoch:[8/1000], 平均loss: 0.0288
26-02-28 23:42:51.713 : epoch:[9/1000], 平均loss: 0.0284
26-02-28 23:44:59.316 : epoch:[10/1000], 平均loss: 0.0282
26-02-28 23:47:49.002 : [epoch 10 PSNR: 29.9441 Best: 29.9441]
26-02-28 23:49:54.387 : epoch:[11/1000], 平均loss: 0.0274
26-02-28 23:51:59.284 : epoch:[12/1000], 平均loss: 0.0273
26-02-28 23:54:04.743 : epoch:[13/1000], 平均loss: 0.0273
26-02-28 23:56:10.248 : epoch:[14/1000], 平均loss: 0.0273
26-02-28 23:58:16.235 : epoch:[15/1000], 平均loss: 0.0271
26-03-01 00:00:22.783 : epoch:[16/1000], 平均loss: 0.0269
26-03-01 00:02:28.659 : epoch:[17/1000], 平均loss: 0.0266
26-03-01 00:04:35.143 : epoch:[18/1000], 平均loss: 0.0265
26-03-01 00:06:40.860 : epoch:[19/1000], 平均loss: 0.0261
26-03-01 00:08:46.673 : epoch:[20/1000], 平均loss: 0.0261
26-03-01 00:11:34.776 : [epoch 20 PSNR: 30.3444 Best: 30.3444]
26-03-01 00:13:41.183 : epoch:[21/1000], 平均loss: 0.0260
26-03-01 00:15:46.641 : epoch:[22/1000], 平均loss: 0.0261
26-03-01 00:17:52.321 : epoch:[23/1000], 平均loss: 0.0259
26-03-01 00:19:57.961 : epoch:[24/1000], 平均loss: 0.0259
26-03-01 00:22:03.302 : epoch:[25/1000], 平均loss: 0.0258
26-03-01 00:24:09.189 : epoch:[26/1000], 平均loss: 0.0256
26-03-01 00:26:16.158 : epoch:[27/1000], 平均loss: 0.0255
