26-05-16 22:05:24.452 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [0]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [0]
    dataroot_H: ./dataset/gray_valid_all
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-05-16 22:05:24.457 : 训练集大小: 1120
26-05-16 22:05:24.457 : 验证集数量: 240 (每个 sigma 一个 Dataset)
26-05-16 22:05:25.682 : Number of parameter: 3.26M
26-05-16 22:05:25.682 : start training...
26-05-16 22:06:42.611 : epoch:[1/1000], 平均loss: 0.1324
26-05-16 22:07:58.399 : epoch:[2/1000], 平均loss: 0.0249
26-05-16 22:09:15.107 : epoch:[3/1000], 平均loss: 0.0158
26-05-16 22:10:34.946 : epoch:[4/1000], 平均loss: 0.0116
26-05-16 22:11:53.872 : epoch:[5/1000], 平均loss: 0.0098
26-05-16 22:13:08.621 : epoch:[6/1000], 平均loss: 0.0079
26-05-16 22:14:25.095 : epoch:[7/1000], 平均loss: 0.0069
26-05-16 22:15:40.556 : epoch:[8/1000], 平均loss: 0.0068
26-05-16 22:16:55.184 : epoch:[9/1000], 平均loss: 0.0048
26-05-16 22:18:09.889 : epoch:[10/1000], 平均loss: 0.0041
26-05-16 22:19:06.583 : [epoch 10 PSNR: 44.9186 Best: 44.9186]
26-05-16 22:20:22.018 : epoch:[11/1000], 平均loss: 0.0034
26-05-16 22:21:38.109 : epoch:[12/1000], 平均loss: 0.0035
26-05-16 22:22:51.977 : epoch:[13/1000], 平均loss: 0.0036
26-05-16 22:24:06.093 : epoch:[14/1000], 平均loss: 0.0032
26-05-16 22:25:20.569 : epoch:[15/1000], 平均loss: 0.0034
26-05-16 22:26:35.036 : epoch:[16/1000], 平均loss: 0.0032
26-05-16 22:27:48.742 : epoch:[17/1000], 平均loss: 0.0024
26-05-16 22:29:03.023 : epoch:[18/1000], 平均loss: 0.0029
26-05-16 22:30:16.399 : epoch:[19/1000], 平均loss: 0.0023
26-05-16 22:31:30.510 : epoch:[20/1000], 平均loss: 0.0023
26-05-16 22:32:26.721 : [epoch 20 PSNR: 48.7505 Best: 48.7505]
26-05-16 22:33:40.439 : epoch:[21/1000], 平均loss: 0.0020
26-05-16 22:34:54.442 : epoch:[22/1000], 平均loss: 0.0020
26-05-16 22:36:08.254 : epoch:[23/1000], 平均loss: 0.0019
26-05-16 22:37:22.342 : epoch:[24/1000], 平均loss: 0.0018
26-05-16 22:38:35.389 : epoch:[25/1000], 平均loss: 0.0017
26-05-16 22:39:49.119 : epoch:[26/1000], 平均loss: 0.0020
26-05-16 22:41:02.343 : epoch:[27/1000], 平均loss: 0.0019
26-05-16 22:42:15.926 : epoch:[28/1000], 平均loss: 0.0015
26-05-16 22:43:30.183 : epoch:[29/1000], 平均loss: 0.0014
26-05-16 22:44:44.634 : epoch:[30/1000], 平均loss: 0.0015
26-05-16 22:45:41.555 : [epoch 30 PSNR: 52.2304 Best: 52.2304]
26-05-16 22:46:56.448 : epoch:[31/1000], 平均loss: 0.0014
26-05-16 22:48:11.155 : epoch:[32/1000], 平均loss: 0.0014
26-05-16 22:49:25.469 : epoch:[33/1000], 平均loss: 0.0012
26-05-16 22:50:40.144 : epoch:[34/1000], 平均loss: 0.0013
26-05-16 22:51:54.944 : epoch:[35/1000], 平均loss: 0.0014
26-05-16 22:53:10.502 : epoch:[36/1000], 平均loss: 0.0014
26-05-16 22:54:28.051 : epoch:[37/1000], 平均loss: 0.0011
26-05-16 22:55:46.584 : epoch:[38/1000], 平均loss: 0.0012
26-05-16 22:57:04.551 : epoch:[39/1000], 平均loss: 0.0012
26-05-16 22:58:23.234 : epoch:[40/1000], 平均loss: 0.0011
26-05-16 22:59:21.569 : [epoch 40 PSNR: 53.6048 Best: 53.6048]
26-05-16 23:00:40.455 : epoch:[41/1000], 平均loss: 0.0011
26-05-16 23:01:57.946 : epoch:[42/1000], 平均loss: 0.0011
26-05-16 23:03:14.282 : epoch:[43/1000], 平均loss: 0.0011
26-05-16 23:04:29.996 : epoch:[44/1000], 平均loss: 0.0010
26-05-16 23:05:48.280 : epoch:[45/1000], 平均loss: 0.0011
26-05-16 23:07:06.705 : epoch:[46/1000], 平均loss: 0.0009
26-05-16 23:08:25.539 : epoch:[47/1000], 平均loss: 0.0009
26-05-16 23:09:43.453 : epoch:[48/1000], 平均loss: 0.0009
26-05-16 23:11:02.785 : epoch:[49/1000], 平均loss: 0.0009
26-05-16 23:12:21.626 : epoch:[50/1000], 平均loss: 0.0009
26-05-16 23:13:20.364 : [epoch 50 PSNR: 54.1569 Best: 54.1569]
26-05-16 23:14:40.524 : epoch:[51/1000], 平均loss: 0.0009
26-05-16 23:15:59.495 : epoch:[52/1000], 平均loss: 0.0008
26-05-16 23:17:18.506 : epoch:[53/1000], 平均loss: 0.0009
26-05-16 23:18:37.993 : epoch:[54/1000], 平均loss: 0.0009
26-05-16 23:19:55.208 : epoch:[55/1000], 平均loss: 0.0008
